time,ip,submodule,repository

time.struct_time(tm_year=2019, tm_mon=10, tm_mday=16, tm_hour=20, tm_min=44, tm_sec=30, tm_wday=2, tm_yday=289, tm_isdst=0),165.155.132.157,leeJun,construction
time.struct_time(tm_year=2019, tm_mon=10, tm_mday=17, tm_hour=2, tm_min=59, tm_sec=28, tm_wday=3, tm_yday=290, tm_isdst=0),71.183.252.158,chenJus,construction
time.struct_time(tm_year=2019, tm_mon=10, tm_mday=17, tm_hour=4, tm_min=55, tm_sec=24, tm_wday=3, tm_yday=290, tm_isdst=0),74.71.212.25,huangQio,construction
2019-Oct-27 Oct:49:14,71.183.252.158,chenJus,list
2019-Nov-04 Nov:56:13,165.155.139.167,leeJun,myTunes
2019-Nov-05 Nov:22:20,74.71.212.25,huangQio_linDev,myTunes
2019-Nov-12 Nov:52:17,68.132.19.3,leeJun,randfile
2019-Nov-12 Nov:10:19,23.226.133.174,huangQio,randfile
2019-Nov-14 Nov:42:30,174.202.16.118,leeJun,stat
2019-Nov-14 Nov:28:52,74.71.212.25,huangQio,stat
2019-Nov-19 Nov:12:29,74.71.212.25,huangQio,dirinfo
2019-Nov-19 Nov:21:46,68.132.19.3,leeJun,dirinfo
2019-Nov-27 Nov:21:48,68.132.19.3,leeJun,parse_args
2019-Nov-27 Nov:56:30,74.71.212.25,huangQio,parse_args
2019-Dec-16 Dec:02:51,68.132.19.3,leeJun,shell
2019-Dec-16 Dec:40:23,165.155.131.172,huangQio_linDev,shell
2020-Jan-02 Jan:19:56,149.89.1.30,leeJun,semaphone